exchange,shortname,symbol,longname,sector,industry,origin,type,currency
NYQ,SAP  SE,SAP,SAP SE,Technology,Software—Application,yfinance,stock,USD
GER,SIEMENS AG                    N,SIE.DE,Siemens Aktiengesellschaft,Industrials,Specialty Industrial Machinery,yfinance,stock,EUR
NYQ,"Autoliv, Inc.",ALV,"Autoliv, Inc.",Consumer Cyclical,Auto Parts,yfinance,stock,USD
NYQ,DTE Energy Company,DTE,DTE Energy Company,Utilities,Utilities—Regulated Electric,yfinance,stock,USD
NYQ,"Energizer Holdings, Inc.",ENR,"Energizer Holdings, Inc.",Industrials,Electrical Equipment & Parts,yfinance,stock,USD
GER,RHEINMETALL AG                I,RHM.DE,Rheinmetall AG,Industrials,Aerospace & Defense,yfinance,stock,EUR
GER,MUENCHENER RUECKVERS.-GES. AG N,MUV2.DE,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,Financial Services,Insurance—Reinsurance,yfinance,stock,EUR
GER,DEUTSCHE BANK AG              N,DBK.DE,Deutsche Bank Aktiengesellschaft,Financial Services,Banks—Regional,yfinance,stock,EUR
GER,INFINEON TECHNOLOGIES AG      N,IFX.DE,Infineon Technologies AG,Technology,Semiconductors,yfinance,stock,EUR
GER,DEUTSCHE POST AG              N,DHL.DE,Deutsche Post AG,Industrials,Integrated Freight & Logistics,yfinance,stock,EUR
GER,Mercedes-Benz Group AG        N,MBG.DE,Mercedes-Benz Group AG,Consumer Cyclical,Auto Manufacturers,yfinance,stock,EUR
GER,Bayer AG                      N,BAYN.DE,Bayer Aktiengesellschaft,Healthcare,Drug Manufacturers—General,yfinance,stock,EUR
NYM,CBL Nature-Based Global Emissio,NGO=F,,,,yfinance,stock,USD
GER,DEUTSCHE BOERSE AG            N,DB1.DE,Deutsche Börse AG,Financial Services,Financial Data & Stock Exchanges,yfinance,stock,EUR
GER,E.ON SE                       N,EOAN.DE,E.ON SE,Utilities,Utilities—Diversified,yfinance,stock,EUR
GER,RWE AG                        I,RWE.DE,RWE Aktiengesellschaft,Utilities,Utilities—Diversified,yfinance,stock,EUR
NYQ,Heico Corporation,HEI,HEICO Corporation,Industrials,Aerospace & Defense,yfinance,stock,USD
NMS,"Autodesk, Inc.",ADSK,"Autodesk, Inc.",Technology,Software—Application,yfinance,stock,USD
NCM,"Commercial Bancgroup, Inc.",CBK,"Commercial Bancgroup, Inc.",Financial Services,Banks—Regional,yfinance,stock,USD
GER,BAYERISCHE MOTOREN WERKE AG   S,BMW.DE,Bayerische Motoren Werke Aktiengesellschaft,Consumer Cyclical,Auto Manufacturers,yfinance,stock,EUR
GER,VOLKSWAGEN AG                 V,VOW3.DE,Volkswagen AG,Consumer Cyclical,Auto Manufacturers,yfinance,stock,EUR
NYQ,"Freeport-McMoRan, Inc.",FCX,Freeport-McMoRan Inc.,Basic Materials,Copper,yfinance,stock,USD
